northing_m	easting_m	altitude_m
4601626.518	374513.3783	0.1921
4601626.525	374513.3727	0.1991
4601626.515	374513.3702	0.2021
4601629.516	374507.938	0.2311
4601629.52	374507.9404	0.2231
4601629.523	374507.9357	0.2261
4601635.958	374509.2734	0.2611
4601635.952	374509.2746	0.2561
4601635.958	374509.2684	0.2511
4601633.52	374515.5859	0.2491
4601633.512	374515.5891	0.2491
4601633.515	374515.5824	0.2591
4601290.462	374432.2382	0.4711
4601290.466	374432.2309	0.4721
4601293.068	374428.694	0.4221
4601294.136	374428.7351	0.4171
4601294.141	374428.7392	0.4171
4601294.134	374428.7349	0.4171
4601294.216	374427.7118	0.3871
4601294.207	374427.7069	0.3881
4601294.209	374427.7086	0.3871
4601293.167	374427.5834	0.3961
4601293.152	374427.5817	0.3921
4601293.144	374427.5923	0.3951
4601293.234	374418.4338	0.3611
4601293.228	374418.4457	0.3661
4601294.207	374418.6893	0.3581
4601294.212	374418.6747	0.3701
4601294.478	374417.6697	0.3511
4601294.479	374417.6714	0.3541
4601294.471	374417.6737	0.3561
4601293.424	374417.3694	0.3341
4601293.417	374417.3773	0.3351
4601293.419	374417.3758	0.3321
4601299.451	374410.0871	0.2901
4601299.453	374410.0937	0.2881
4601299.453	374410.0941	0.2871
4601300.454	374410.44	0.2891
4601300.463	374410.4465	0.2881
4601300.435	374410.4463	0.2831
4601300.828	374409.4624	0.2551
4601300.833	374409.4532	0.2531
4601299.879	374408.9748	0.2731
4601299.883	374408.9864	0.2691
4601299.89	374408.9796	0.2681
4601300.192	374399.9059	0.2481
4601300.187	374399.919	0.2481
4601300.191	374399.9256	0.2451
4601301.255	374400.0995	0.2671
4601301.253	374400.1036	0.2711
4601301.248	374400.1238	0.2711
4601301.472	374399.077	0.2421
4601301.473	374399.0786	0.2421
4601301.472	374399.0844	0.2411
4601300.381	374398.7983	0.2551
4601300.382	374398.7958	0.2631
4601300.388	374398.8099	0.2571
4601306.602	374391.2009	0.2151
4601306.608	374391.2079	0.2161
4601307.654	374391.5714	0.2151
4601307.649	374391.5685	0.2091
4601307.646	374391.5688	0.2111
4601308.024	374390.6579	0.1981
4601308.012	374390.6507	0.1991
4601308.024	374390.6627	0.2031
4601307.097	374390.194	0.2031
4601307.083	374390.1937	0.2011
4601307.091	374390.1993	0.2031
4601307.311	374380.897	0.2031
4601307.319	374380.8973	0.2071
4601307.309	374380.9119	0.2021
4601308.231	374381.4029	0.1631
4601308.241	374381.3913	0.1691
4601308.247	374381.3883	0.1721
4601308.654	374380.4406	0.1811
4601308.676	374380.4339	0.1781
4601308.685	374380.4416	0.1771
4601307.637	374380.0026	0.1031
4601307.648	374380.0031	0.1121
4601307.631	374379.994	0.1041
4601313.602	374362.1112	0.1131
4601313.604	374362.1014	0.1071
4601313.592	374362.1072	0.1131
4601314.54	374362.4998	0.1111
4601314.533	374362.504	0.1121
4601314.544	374362.5078	0.1091
4601314.908	374361.5751	0.1011
4601314.896	374361.5722	0.1031
4601314.892	374361.578	0.0991
4601313.982	374361.1721	0.2191
4601313.971	374361.1719	0.2141
4601313.978	374361.1652	0.2131
4601319.995	374353.8748	0.2231
4601319.989	374353.873	0.2271
4601319.977	374353.8768	0.2191
4601320.937	374354.2987	0.2021
4601320.927	374354.2997	0.2041
4601320.923	374354.3004	0.2061
4601321.403	374353.3586	0.1791
4601321.414	374353.3634	0.1851
4601321.402	374353.3661	0.1821
4601320.473	374352.8484	0.2121
4601320.463	374352.848	0.2141
4601320.473	374352.8458	0.2151
4601333.773	374316.3406	0.2031
4601333.775	374316.3377	0.2041
4601333.774	374316.3406	0.2031
