northing_m,easting_m,altitude_m,2011.00,2014.00,2011-RTK,2014-RTK,2011diff^2,2014diff^2
4601518.87,374369.78,0.12,0.14,0.11,0.02,-0.02,0.00,0.00
4601518.79,374370.68,0.11,0.09,0.07,-0.02,-0.04,0.00,0.00
4601518.25,374371.21,0.12,0.10,-0.01,-0.02,-0.13,0.00,0.02
4601518.07,374356.10,0.10,0.15,0.16,0.05,0.06,0.00,0.00
4601517.82,374370.76,0.11,0.12,0.04,0.01,-0.08,0.00,0.01
4601517.72,374356.94,0.11,0.15,0.12,0.04,0.01,0.00,0.00
4601517.39,374371.40,0.10,0.12,0.06,0.01,-0.05,0.00,0.00
4601517.26,374357.70,0.11,0.15,0.13,0.04,0.02,0.00,0.00
4601517.09,374356.40,0.12,0.17,0.14,0.05,0.02,0.00,0.00
4601516.34,374357.94,0.12,0.15,0.13,0.04,0.01,0.00,0.00
4601506.61,374362.42,0.12,0.14,0.15,0.02,0.03,0.00,0.00
4601505.80,374363.79,0.12,0.11,0.11,-0.01,-0.01,0.00,0.00
4601505.67,374361.34,0.12,0.11,0.12,-0.02,-0.01,0.00,0.00
4601504.81,374361.27,0.13,0.10,0.11,-0.03,-0.02,0.00,0.00
4601504.53,374362.34,0.12,0.12,0.17,0.00,0.05,0.00,0.00
4601489.28,374341.88,0.15,0.19,0.15,0.04,0.00,0.00,0.00
4601489.11,374342.78,0.17,0.20,0.15,0.02,-0.02,0.00,0.00
4601488.46,374343.57,0.17,0.19,0.18,0.02,0.01,0.00,0.00
4601488.32,374341.33,0.15,0.21,0.15,0.06,0.00,0.00,0.00
4601487.78,374327.55,0.16,0.24,0.19,0.07,0.03,0.01,0.00
4601487.75,374342.00,0.15,0.18,0.19,0.03,0.04,0.00,0.00
4601487.43,374328.64,0.16,0.21,0.18,0.05,0.02,0.00,0.00
4601486.93,374327.06,0.16,0.23,0.22,0.07,0.05,0.00,0.00
4601486.45,374329.00,0.15,0.22,0.18,0.07,0.03,0.00,0.00
4601485.39,374328.24,0.16,0.22,0.19,0.06,0.03,0.00,0.00
4601471.39,374334.79,0.19,0.23,0.26,0.04,0.07,0.00,0.00
4601470.92,374335.59,0.19,0.24,0.25,0.05,0.06,0.00,0.00
4601470.71,374334.77,0.20,0.27,0.25,0.07,0.04,0.00,0.00
4601469.92,374335.57,0.19,0.26,0.27,0.06,0.07,0.00,0.01
4601469.21,374334.85,0.20,0.27,0.25,0.07,0.05,0.00,0.00
4601432.40,374405.43,0.30,0.25,0.23,-0.05,-0.07,0.00,0.00
4601431.68,374406.48,0.30,0.26,0.22,-0.05,-0.08,0.00,0.01
4601431.65,374404.86,0.27,0.23,0.24,-0.04,-0.03,0.00,0.00
4601430.62,374404.70,0.26,0.26,0.24,-0.01,-0.03,0.00,0.00
4601430.49,374405.77,0.27,0.24,0.23,-0.04,-0.04,0.00,0.00
4601429.80,374392.50,0.25,0.25,0.26,0.00,0.01,0.00,0.00
4601429.45,374393.35,0.25,0.22,0.21,-0.02,-0.03,0.00,0.00
4601428.98,374392.10,0.24,0.25,0.26,0.02,0.02,0.00,0.00
4601428.36,374392.04,0.24,0.23,0.20,-0.02,-0.04,0.00,0.00
